DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 A11_140.wav	 3.017	 0.000	 0	 16000	0.0000
 A11_140_K.wav	 2.219	 0.000	 0	 16000	0.0000
 A11_140_84.wav	 3.433	 0.000	 0	 16000	0.0000
 A11_140_85.wav	 3.488	 0.000	 0	 16000	0.0000
 A11_141.wav	 3.142	 0.000	 0	 16000	0.0000
 A11_141_K.wav	 2.267	 0.000	 0	 16000	0.0000
 A11_141_84.wav	 3.556	 0.000	 0	 16000	0.0000
 A11_141_85.wav	 3.578	 0.000	 0	 16000	0.0000
 A11_142.wav	 3.062	 0.000	 0	 16000	0.0000
 A11_142_K.wav	 2.339	 0.000	 0	 16000	0.0000
 A11_142_84.wav	 3.516	 0.000	 0	 16000	0.0000
 A11_142_85.wav	 3.587	 0.000	 0	 16000	0.0000
 A11_143.wav	 3.045	 0.000	 0	 16000	0.0000
 A11_143_K.wav	 2.420	 0.000	 0	 16000	0.0000
 A11_143_84.wav	 3.322	 0.000	 0	 16000	0.0000
 A11_143_85.wav	 3.387	 0.000	 0	 16000	0.0000
 A11_144.wav	 3.111	 0.000	 0	 16000	0.0000
 A11_144_K.wav	 2.076	 0.000	 0	 16000	0.0000
 A11_144_84.wav	 3.459	 0.000	 0	 16000	0.0000
 A11_144_85.wav	 3.467	 0.000	 0	 16000	0.0000
 A11_145.wav	 3.025	 0.000	 0	 16000	0.0000
 A11_145_K.wav	 2.182	 0.000	 0	 16000	0.0000
 A11_145_84.wav	 3.340	 0.000	 0	 16000	0.0000
 A11_145_85.wav	 3.384	 0.000	 0	 16000	0.0000
 A11_146.wav	 3.130	 0.000	 0	 16000	0.0000
 A11_146_K.wav	 2.290	 0.000	 0	 16000	0.0000
 A11_146_84.wav	 3.320	 0.000	 0	 16000	0.0000
 A11_146_85.wav	 3.382	 0.000	 0	 16000	0.0000
 A11_0.wav	 2.691	 0.000	 0	 16000	0.0000
