REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 D:\Github\Denoise\AutoTesting\Speech/A11_0.wav	 ./Speech_Noise/20/A11_0.wav	 SQValue=3.108	 3.108	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_0.wav	 ./Speech_Noise/20/A11_0_K.wav	 SQValue=2.451	 2.451	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_0.wav	 ./Speech_Noise/20/A11_0_84.wav	 SQValue=3.492	 3.492	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_0.wav	 ./Speech_Noise/20/A11_0_85.wav	 SQValue=3.523	 3.523	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_1.wav	 ./Speech_Noise/20/A11_1.wav	 SQValue=2.983	 2.983	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_1.wav	 ./Speech_Noise/20/A11_1_K.wav	 SQValue=2.343	 2.343	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_1.wav	 ./Speech_Noise/20/A11_1_84.wav	 SQValue=3.298	 3.298	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_1.wav	 ./Speech_Noise/20/A11_1_85.wav	 SQValue=3.268	 3.268	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_10.wav	 ./Speech_Noise/20/A11_10.wav	 SQValue=3.003	 3.003	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_10.wav	 ./Speech_Noise/20/A11_10_K.wav	 SQValue=2.854	 2.854	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_10.wav	 ./Speech_Noise/20/A11_10_84.wav	 SQValue=3.337	 3.337	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_10.wav	 ./Speech_Noise/20/A11_10_85.wav	 SQValue=3.398	 3.398	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_100.wav	 ./Speech_Noise/20/A11_100.wav	 SQValue=3.063	 3.063	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_100.wav	 ./Speech_Noise/20/A11_100_K.wav	 SQValue=2.242	 2.242	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_100.wav	 ./Speech_Noise/20/A11_100_84.wav	 SQValue=3.355	 3.355	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_100.wav	 ./Speech_Noise/20/A11_100_85.wav	 SQValue=3.413	 3.413	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_102.wav	 ./Speech_Noise/20/A11_102.wav	 SQValue=2.944	 2.944	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_102.wav	 ./Speech_Noise/20/A11_102_K.wav	 SQValue=2.437	 2.437	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_102.wav	 ./Speech_Noise/20/A11_102_84.wav	 SQValue=3.388	 3.388	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_102.wav	 ./Speech_Noise/20/A11_102_85.wav	 SQValue=3.462	 3.462	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_103.wav	 ./Speech_Noise/20/A11_103.wav	 SQValue=3.120	 3.120	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_103.wav	 ./Speech_Noise/20/A11_103_K.wav	 SQValue=2.322	 2.322	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_103.wav	 ./Speech_Noise/20/A11_103_84.wav	 SQValue=3.506	 3.506	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_103.wav	 ./Speech_Noise/20/A11_103_85.wav	 SQValue=3.519	 3.519	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_104.wav	 ./Speech_Noise/20/A11_104.wav	 SQValue=3.058	 3.058	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_104.wav	 ./Speech_Noise/20/A11_104_K.wav	 SQValue=2.218	 2.218	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_104.wav	 ./Speech_Noise/20/A11_104_84.wav	 SQValue=3.280	 3.280	 0.000	 0	 16000	0.0000
